Mapping ID,External Framework,External Version,External Reference ID,External Reference Title,AAEF References,AAEF Control IDs,Relationship Type,Mapping Confidence,Mapping Status,Mapping Rationale,Limitations,Notes
AAEF-MAP-001,NIST AI RMF,1.0,GOVERN,Govern function,docs/en/06-control-domains.md; docs/en/08-assessment-methodology.md; docs/en/24-control-catalog-versioning.md,AAEF-GOV-01;AAEF-GOV-02;AAEF-GOV-03,Partially Supports,Medium,Draft,AAEF governance controls and catalog versioning provide implementation support for governance-oriented review of agentic AI systems within the narrower scope of agentic action assurance.,"Function-level informative mapping only. AAEF does not replace AI risk governance programs, organization-wide AI RMF implementation, or external conformity assessment.",Conservative function-level mapping. Not a claim of AI RMF implementation or compliance equivalence.
AAEF-MAP-002,NIST AI RMF,1.0,MAP,Map function,docs/en/04-threat-model.md; docs/en/11-high-impact-action-taxonomy.md; docs/en/20-assessment-profiles.md,AAEF-GOV-02;AAEF-TOOL-03;AAEF-MEM-02;AAEF-AUZ-02,Partially Supports,Medium,Draft,"AAEF provides implementation support for identifying agentic action boundaries, high-impact actions, tool risks, and contextual factors relevant to agentic risk mapping.",Function-level informative mapping only. AAEF is focused on agentic action assurance and does not cover the full AI system lifecycle.,Conservative function-level mapping. Subcategory-level refinement should be added only where public references support a more precise relationship.
AAEF-MAP-003,NIST AI RMF,1.0,MEASURE,Measure function,docs/en/14-evidence-event-schema.md; docs/en/25-testing-procedures-and-pass-criteria.md,AAEF-EVD-01;AAEF-EVD-02;AAEF-EVD-03;AAEF-EVD-04,Partially Supports,Medium,Draft,"AAEF evidence and testing procedure artifacts provide evidence support for reviewing authorization, dispatch, execution, non-execution, and evidence quality in agentic action contexts.","Function-level informative mapping only. AAEF testing procedures are draft assessment aids and do not constitute audit sufficiency, certification readiness, or conformity evidence.",Conservative function-level mapping. Evidence support does not imply full coverage of the external framework function.
AAEF-MAP-004,NIST AI RMF,1.0,MANAGE,Manage function,docs/en/21-action-sequence-monitoring.md; docs/en/26-high-impact-audit-grade-prequalification.md; docs/en/27-trusted-control-boundary-integrity.md,AAEF-RES-01;AAEF-RES-02;AAEF-RES-04;AAEF-AUZ-04;AAEF-AUZ-09,Partially Supports,Medium,Draft,"AAEF response, revocation, denial, reauthorization, and trusted boundary guidance provide implementation support for managing selected agentic action risks.",Function-level informative mapping only. AAEF does not provide a complete enterprise AI risk management process.,Conservative function-level mapping. Relationship is limited to agentic action assurance concerns.
AAEF-MAP-005,NIST AI RMF Generative AI Profile,NIST AI 600-1,GENAI-PROFILE,Generative AI risk management profile,mappings/nist-ai-rmf-genai-profile.md; docs/en/04-threat-model.md; docs/en/14-evidence-event-schema.md; docs/en/27-trusted-control-boundary-integrity.md,AAEF-MEM-03;AAEF-MEM-04;AAEF-TOOL-04;AAEF-AUZ-05;AAEF-EVD-02;AAEF-HUM-01;AAEF-RES-03,Related,Medium,Draft,"AAEF has topic-level alignment with selected Generative AI Profile concerns where generative AI systems use tools, memory, retrieval, external content, human approval, or high-impact actions. The dedicated NIST mapping document interprets those concerns through agentic action assurance.","Topic-level informative mapping only. This row does not claim action-level or subcategory-level mapping to the GenAI Profile, complete GenAI risk management, audit sufficiency, certification readiness, or conformity evidence.","Draft topic-level mapping supported by mappings/nist-ai-rmf-genai-profile.md. External Reference ID is a topic-level mapping seed, not an official external control ID."
AAEF-MAP-006,OWASP Top 10 for Agentic Applications,2026,AGENTIC-TOP10,Agentic application risk categories,docs/en/04-threat-model.md; docs/en/21-action-sequence-monitoring.md; mappings/owasp-agentic-top10-2026.md,AAEF-AUZ-01;AAEF-TOOL-02;AAEF-TOOL-04;AAEF-MEM-03;AAEF-DEL-01;AAEF-EVD-01,Related,Medium,Draft,"AAEF has conceptual alignment with OWASP Agentic Top 10 risk themes, and the dedicated OWASP mapping document interprets those risks through agentic action assurance, authorization boundaries, tool dispatch, delegation, memory influence, human oversight, evidence, and response.","Topic-level informative mapping only. This mapping is not a replacement for OWASP guidance, does not claim complete mitigation, and should be reviewed against current public OWASP source material when used.",Draft topic-level mapping supported by mappings/owasp-agentic-top10-2026.md. External Reference ID is not an official external control ID.
AAEF-MAP-007,OWASP Top 10 for Agentic Applications,2026,AGENTIC-ACTION-BOUNDARY,Action and tool execution boundary,docs/en/17-reference-architecture.md; docs/en/27-trusted-control-boundary-integrity.md,AAEF-AUZ-01;AAEF-AUZ-05;AAEF-TOOL-01;AAEF-TOOL-02;AAEF-TOOL-04,Partially Supports,Medium,Draft,"AAEF's model-output-not-authority boundary, authorization decision point, and tool dispatch enforcement point provide implementation support for action-boundary analysis.",Topic-level informative mapping only. External OWASP categories should be mapped more granularly only after review against current public OWASP source material.,Conservative topic-level mapping. External Reference ID is not an official external control ID.
AAEF-MAP-008,OWASP Top 10 for Agentic Applications,2026,AGENTIC-EVIDENCE-AUDITABILITY,Evidence and incident reconstruction,docs/en/14-evidence-event-schema.md; docs/en/25-testing-procedures-and-pass-criteria.md,AAEF-EVD-01;AAEF-EVD-02;AAEF-EVD-03;AAEF-EVD-05;AAEF-RES-03,Partially Supports,Medium,Draft,"AAEF provides evidence support for incident reconstruction concepts through action evidence, non-execution evidence, auditability, and response-oriented records.",Topic-level informative mapping only. External incident response and logging requirements may require additional controls beyond AAEF.,Conservative topic-level mapping. External Reference ID is not an official external control ID.
AAEF-MAP-009,ISO/IEC 42001,2023,ISO-IEC-42001-AIMS,Artificial intelligence management system,docs/en/29-iso-iec-42001-feasibility.md; docs/en/28-external-framework-mapping-methodology.md; docs/en/06-control-domains.md; docs/en/14-evidence-event-schema.md,AAEF-GOV-01;AAEF-GOV-02;AAEF-GOV-03;AAEF-AUZ-01;AAEF-TOOL-01;AAEF-EVD-01;AAEF-RES-03,Related,Low,Review Needed,"AAEF has high-level conceptual alignment with selected AI management system concerns where agentic AI systems can take or trigger high-impact actions through tools, workflows, APIs, memory, retrieval, delegation, or backend execution paths.","High-level feasibility row only. This row does not provide clause-level mapping, compliance mapping, certification readiness assessment, audit opinion, conformity evidence, or ISO/IEC 42001 coverage. Detailed interpretation requires appropriate licensed or authorized access to the official standard or an authorized national adoption.","Copyright-sensitive mapping seed. No ISO/IEC 42001 requirement text, clause text, annex text, tables, figures, or translated excerpts are reproduced. Clause identifiers, if used later, should be treated as navigational references only."
AAEF-MAP-010,CSA Agentic Trust Framework,Public specification,CSA-ATF,Agentic Trust Framework,mappings/csa-agentic-trust-framework.md; docs/en/06-control-domains.md; docs/en/17-reference-architecture.md; docs/en/27-trusted-control-boundary-integrity.md,AAEF-GOV-01;AAEF-ID-01;AAEF-PRN-01;AAEF-AUZ-01;AAEF-TOOL-01;AAEF-DEL-01;AAEF-MEM-03;AAEF-EVD-01;AAEF-RES-01,Related,Medium,Draft,"AAEF has topic-level alignment with CSA Agentic Trust Framework concerns around agent identity, purpose, least privilege, execution boundaries, revocation, containment, and evidence for agentic systems.","Topic-level informative mapping only. This row does not claim complete ATF implementation, maturity certification, audit sufficiency, compliance equivalence, or conformity evidence.","Draft topic-level mapping supported by mappings/csa-agentic-trust-framework.md. External Reference ID is a topic-level mapping seed, not an official external control ID."
