Control ID,Domain,Lite Applicability,Standard Applicability,High-Impact Applicability,Audit-Grade Applicability,Profile Notes
AAEF-GOV-01,Governance,Required,Required,Required,Required,"Governance controls establish inventory, ownership, and risk boundaries; assessment depth increases by profile."
AAEF-GOV-02,Governance,Required,Required,Required,Required,"Governance controls establish inventory, ownership, and risk boundaries; assessment depth increases by profile."
AAEF-GOV-03,Governance,Required,Required,Required,Required,"Governance controls establish inventory, ownership, and risk boundaries; assessment depth increases by profile."
AAEF-ID-01,Agent Identity,Context-Dependent,Required,Required,Required,Agent identity is required for production and tool-enabled systems; Lite applicability depends on whether the assistant can initiate actions.
AAEF-ID-02,Agent Identity,Context-Dependent,Required,Required,Required,Agent identity is required for production and tool-enabled systems; Lite applicability depends on whether the assistant can initiate actions.
AAEF-ID-03,Agent Identity,Context-Dependent,Required,Required,Required,Agent identity is required for production and tool-enabled systems; Lite applicability depends on whether the assistant can initiate actions.
AAEF-PRN-01,Principal Binding,Context-Dependent,Required,Required,Required,"Principal authority controls apply when actions are taken on behalf of users, services, or organizations."
AAEF-PRN-02,Principal Binding,Context-Dependent,Required,Required,Required,"Principal authority controls apply when actions are taken on behalf of users, services, or organizations."
AAEF-DEL-01,Delegation and Authority,Context-Dependent,Context-Dependent,Required,Required,"Delegation controls apply when agents delegate, spawn subtasks, or transfer authority; stronger profiles require explicit delegation boundaries."
AAEF-DEL-02,Delegation and Authority,Context-Dependent,Context-Dependent,Required,Required,"Delegation controls apply when agents delegate, spawn subtasks, or transfer authority; stronger profiles require explicit delegation boundaries."
AAEF-DEL-03,Delegation and Authority,Context-Dependent,Context-Dependent,Required,Required,"Delegation controls apply when agents delegate, spawn subtasks, or transfer authority; stronger profiles require explicit delegation boundaries."
AAEF-DEL-04,Delegation and Authority,Context-Dependent,Context-Dependent,Required,Required,"Delegation controls apply when agents delegate, spawn subtasks, or transfer authority; stronger profiles require explicit delegation boundaries."
AAEF-DEL-05,Delegation and Authority,Context-Dependent,Context-Dependent,Required,Required,"Delegation controls apply when agents delegate, spawn subtasks, or transfer authority; stronger profiles require explicit delegation boundaries."
AAEF-AUZ-01,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-02,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-03,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-04,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-05,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-06,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-07,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-08,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-AUZ-09,Action Authorization,Recommended,Required,Required,Required,"Authorization controls become mandatory for production, high-impact, and audit-grade action execution."
AAEF-TOOL-01,Tool and Action Boundary,Context-Dependent,Required,Required,Required,"Tool controls apply when tools, APIs, dispatchers, or externally visible actions are available."
AAEF-TOOL-02,Tool and Action Boundary,Context-Dependent,Required,Required,Required,"Tool controls apply when tools, APIs, dispatchers, or externally visible actions are available."
AAEF-TOOL-03,Tool and Action Boundary,Context-Dependent,Required,Required,Required,"Tool controls apply when tools, APIs, dispatchers, or externally visible actions are available."
AAEF-TOOL-04,Tool and Action Boundary,Context-Dependent,Required,Required,Required,"Tool controls apply when tools, APIs, dispatchers, or externally visible actions are available."
AAEF-MEM-01,Memory and Retrieval,Context-Dependent,Context-Dependent,Required,Required,"Memory and context controls apply when persistent memory, sensitive context, or cross-session data can affect actions."
AAEF-MEM-02,Memory and Retrieval,Context-Dependent,Context-Dependent,Required,Required,"Memory and context controls apply when persistent memory, sensitive context, or cross-session data can affect actions."
AAEF-MEM-03,Memory and Retrieval,Context-Dependent,Context-Dependent,Required,Required,"Memory and context controls apply when persistent memory, sensitive context, or cross-session data can affect actions."
AAEF-MEM-04,Memory and Retrieval,Context-Dependent,Context-Dependent,Required,Required,"Memory and context controls apply when persistent memory, sensitive context, or cross-session data can affect actions."
AAEF-EVD-01,Evidence and Auditability,Recommended,Required,Required,Required,"Evidence controls scale from lightweight records to action-bound, correlated, tamper-evident evidence."
AAEF-EVD-02,Evidence and Auditability,Recommended,Required,Required,Required,"Evidence controls scale from lightweight records to action-bound, correlated, tamper-evident evidence."
AAEF-EVD-03,Evidence and Auditability,Recommended,Required,Required,Required,"Evidence controls scale from lightweight records to action-bound, correlated, tamper-evident evidence."
AAEF-EVD-04,Evidence and Auditability,Recommended,Required,Required,Required,"Evidence controls scale from lightweight records to action-bound, correlated, tamper-evident evidence."
AAEF-EVD-05,Evidence and Auditability,Recommended,Required,Required,Required,"Evidence controls scale from lightweight records to action-bound, correlated, tamper-evident evidence."
AAEF-EVD-06,Evidence and Auditability,Recommended,Required,Required,Required,"Evidence controls scale from lightweight records to action-bound, correlated, tamper-evident evidence."
AAEF-HUM-01,Human Oversight,Recommended,Required,Required,Required,"Human review controls are expected where human approval, override, escalation, or review surfaces are part of the control path."
AAEF-HUM-02,Human Oversight,Recommended,Required,Required,Required,"Human review controls are expected where human approval, override, escalation, or review surfaces are part of the control path."
AAEF-HUM-03,Human Oversight,Recommended,Required,Required,Required,"Human review controls are expected where human approval, override, escalation, or review surfaces are part of the control path."
