Control ID,Domain,Maturity,Requirement Summary,Applicability,Assessment Result,Evidence Reviewed,Finding Summary,Residual Risk,Remediation Notes,Owner,Target Date,Priority,Related Threats,Assurance Type,Implementation Assumptions,Notes
AAEF-GOV-01,Governance,Required,"Maintain inventory of agentic systems, tools, owners, and high-impact capabilities.",Not Assessed,Not Assessed,,,,,,,Medium,T1; T5; T8,Governance,"Inventory covers production, pilots, and tool-enabled workflows.",
AAEF-GOV-02,Governance,Required,Define high-impact agentic actions and review them periodically.,Not Assessed,Not Assessed,,,,,,,High,T3; T5; T8,Governance,High-impact taxonomy is mapped to tools and workflows.,
AAEF-GOV-03,Governance,Required,Assign accountable owners for agentic systems and high-impact actions.,Not Assessed,Not Assessed,,,,,,,Medium,T8; T9,Governance,Owners have authority and responsibility to act.,
AAEF-ID-01,Agent Identity,Required,Assign stable and verifiable identity to agents performing high-impact actions.,Not Assessed,Not Assessed,,,,,,,High,T1,Preventive / Evidentiary,Agent identity is verifiable and checked by enforcement points.,
AAEF-ID-02,Agent Identity,Recommended,Distinguish agent product identity from runtime instance identity.,Not Assessed,Not Assessed,,,,,,,Medium,T1,Evidentiary,Runtime instance IDs are propagated to logs and evidence.,
AAEF-ID-03,Agent Identity,Recommended,"Record issuer, operator, and environment metadata for agents.",Not Assessed,Not Assessed,,,,,,,Medium,T1; T7,Governance / Evidentiary,Issuer and operator metadata are maintained and trusted.,
AAEF-PRN-01,Principal Binding,Required,Bind high-impact actions to the principal on whose behalf the action occurs.,Not Assessed,Not Assessed,,,,,,,High,T2,Preventive / Evidentiary,Principal binding is derived from trusted identity/session context.,
AAEF-PRN-02,Principal Binding,Required,"Preserve principal context across tools, workflows, and delegations.",Not Assessed,Not Assessed,,,,,,,High,T2; T3; T7,Preventive / Evidentiary,Explicit context propagation mechanisms are used and tested.,
AAEF-DEL-01,Delegation and Authority,Required,Prevent delegated authority from exceeding the delegator's authority.,Not Assessed,Not Assessed,,,,,,,High,T3,Preventive,Authority comparison is enforced by trusted policy components.,
AAEF-DEL-02,Delegation and Authority,Required,"Constrain delegated authority by action, resource, purpose, time, count, or depth.",Not Assessed,Not Assessed,,,,,,,High,T3,Preventive,Delegation constraints are machine-readable where feasible.,
