Category ID,Category Name,Definition,Example Actions,Typical Impact,Recommended Baseline,Key AAEF Control Areas,Suggested Evidence
HIA-COMM,External Communication,"Actions that send, publish, or transmit information to external parties.",Send customer email; post externally; submit external form; message vendor or partner.,Reputation; confidentiality; fraud; regulatory exposure,"Treat as high-impact when external, sensitive, irreversible, or business-binding.","AUZ, TOOL, EVD, HUM",recipient; content class or digest; purpose; approval; result
HIA-DATA,Sensitive Data Access or Export,"Actions that access, retrieve, summarize, copy, export, or transmit sensitive data.",Export customer records; retrieve personal data; summarize confidential documents; send internal data to external tools.,Privacy; confidentiality; data leakage,Treat export or cross-boundary transfer as high-impact by default.,"GOV, AUZ, MEM, EVD",data class; resource; purpose; source trust; authorization; evidence location
HIA-FIN,"Payment, Purchase, or Financial Commitment","Actions that initiate, approve, prepare, modify, or execute financial transactions or commitments.",Create purchase order; initiate payment; approve refund; modify invoice or billing record.,Financial loss; fraud; audit exposure,Treat monetary commitment above defined threshold as high-impact by default.,"DEL, AUZ, TOOL, HUM, EVD",amount; currency; counterparty; authority limit; approval; transaction reference
HIA-AUTH,Access Rights or Privilege Change,"Actions that grant, revoke, modify, or recommend access rights, roles, credentials, or security-sensitive entitlements.",Change IAM role; grant SaaS admin access; create service account; rotate or retrieve secret.,Privilege escalation; persistence; compromise,Treat privilege changes and secret access as high-impact by default.,"ID, PRN, DEL, AUZ, RES, EVD",principal; target identity; permission change; policy; approval; revocation path
HIA-SYS,Production System Change,"Actions that modify production systems, operational configuration, infrastructure, routing, availability, or business-critical workflows.",Change production config; update database state; modify firewall or routing; restart critical services.,Outage; corruption; cascading failure,Treat production state-changing operations as high-impact by default.,"GOV, AUZ, TOOL, HUM, RES, EVD",system; environment; change reference; approval; result; rollback or isolation reference
HIA-CODE,"Code Commit, Merge, Deployment, or Execution","Actions that write, modify, merge, deploy, execute, or trigger code.",Commit code; merge PR; trigger deployment; execute generated script; change CI/CD config.,Vulnerability; backdoor; runtime compromise,Treat production deployment and code execution as high-impact by default.,"TOOL, AUZ, HUM, RES, EVD",repository; branch; code digest; command; environment; approval; result
HIA-LEGAL,"Contract, Legal, or Regulatory Commitment","Actions that create, modify, accept, submit, or communicate legal, regulatory, contractual, or compliance-relevant commitments.",Accept contract terms; submit regulatory response; send legal notice; make compliance attestation.,Liability; legal obligation; compliance exposure,Treat externally binding legal or regulatory actions as high-impact by default.,"PRN, DEL, AUZ, HUM, EVD",document reference; recipient; authority; approval; timestamp; submission result
HIA-CUST,Customer-Impacting Decision or Action,"Actions that materially affect a customer, user, patient, employee, applicant, or other individual.",Suspend account; approve or deny service; issue penalty; change customer status.,Rights; fairness; service impact,"Treat eligibility, access, suspension, or adverse customer-impacting decisions as high-impact by default.","GOV, AUZ, HUM, EVD, RES",affected party; policy basis; decision inputs; approval; outcome; review path
HIA-SEC,"Security Response, Blocking, or Containment","Actions that affect security posture, detection, response, containment, access, blocking, quarantine, or enforcement.",Block IP; disable account; quarantine endpoint; modify detection logic; suppress alert.,Defensive impact; disruption; evidence risk,"Treat broad, irreversible, or production-impacting security actions as high-impact by default.","TOOL, AUZ, HUM, RES, EVD",incident reference; target; detection source; action; result; rollback path
HIA-MEM,Persistent Memory Write or Trust-State Update,"Actions that write persistent memory, update long-term agent context, modify trust state, or alter future agent behavior.",Write long-term memory; store retrieved content; change trust state; update allowlist or denylist.,Long-term poisoning; future behavior influence,Treat persistent memory writes that influence future high-impact actions as high-impact by default.,"MEM, AUZ, EVD, RES",memory source; provenance; trust level; content digest; expiration; review or deletion path
HIA-A2A,External Agent Delegation or Cross-Domain Agent Action,"Actions that delegate tasks, authority, evidence, tool access, or workflow participation to another agent, especially across trust boundaries.",Delegate to external agent; accept delegated work; invoke external agent; exchange authority claims.,Cross-domain authority; delegation; evidence gaps,Treat external agent delegation and cross-domain authority exchange as high-impact by default.,"ID, PRN, DEL, AUZ, EVD, RES",upstream agent; downstream agent; authority scope; constraints; accepted delegation; revocation status
