mapping_id,external_framework,external_version_or_date,external_reference_id,external_reference_title,aaef_reference_type,aaef_reference_id,aaef_reference_status,relationship_type,relationship_confidence,mapping_rationale,scope_limitations,claim_boundary,review_status,reviewer,last_reviewed,notes
MAP-NIST-AI-RMF-GOVERN-001,NIST AI RMF,AI RMF 1.0 / NIST AI 100-1,GOVERN,Govern function,concept,model_output_is_not_authority,active_concept,provides_action_boundary_context_for,medium,AAEF adds action-bound authority and evidence context for governance discussions involving agentic actions.,This row does not evaluate NIST AI RMF outcomes or organizational AI risk management completeness.,"This mapping does not assert compliance, certification, audit sufficiency, conformity, or equivalence with NIST AI RMF.",draft,project_maintainer,2026-05-02,Pilot row for conservative mapping vocabulary.
MAP-OWASP-LLM-LLM01-001,OWASP Top 10 for LLM Applications,2025 project materials,LLM01,Prompt Injection,concept,authorization_at_action_boundary,active_concept,provides_action_boundary_context_for,high,AAEF focuses on preventing model or prompt-influenced content from becoming action authority without independent authorization and enforcement.,This row does not cover all OWASP LLM risks and does not assert mitigation completeness.,"This mapping does not assert compliance, certification, audit sufficiency, conformity, or equivalence with OWASP materials.",draft,project_maintainer,2026-05-02,Pilot row for prompt-injection-related action-boundary context.
MAP-MITRE-ATLAS-001,MITRE ATLAS,living knowledge base,ATLAS,Adversarial Threat Landscape for Artificial-Intelligence Systems,concept,agentic_action_evidence_and_reconstruction,active_concept,supports_analysis_of,medium,AAEF evidence and reconstruction concepts may support analysis of adversarial AI scenarios where agentic actions require traceability.,This row does not map individual ATLAS tactics or techniques and does not claim threat coverage completeness.,"This mapping does not assert compliance, certification, audit sufficiency, conformity, or equivalence with MITRE ATLAS.",draft,project_maintainer,2026-05-02,Pilot row for threat-analysis relationship mapping.
MAP-ISO-IEC-42001-001,ISO/IEC 42001,ISO/IEC 42001:2023,AIMS,AI management system,planning_artifact,docs/en/status/v060-legal-compliance-applicability-note-planning.md,planning_non_normative,complements,low,"AAEF planning materials may complement organizational AI management discussions by focusing on action authority, execution boundaries, and evidence limitations.",This row does not evaluate ISO/IEC 42001 requirements and does not support certification or management-system conformity claims.,"This mapping does not assert compliance, certification, audit sufficiency, conformity, or equivalence with ISO/IEC 42001.",draft,project_maintainer,2026-05-02,Handled with low confidence because management-system standards carry higher certification/confusion risk.
v060-map-nist-ai-rmf-action-authority-001,NIST AI RMF 1.0,1.0,AI risk management governance and trustworthiness context,AI risk management governance and trustworthiness context,Model output is not authority; action authority separation,Model output is not authority; action authority separation,Model output is not authority; action authority separation,provides_action_boundary_context_for,May inform governance context for separating model output from action authority.,AAEF can be considered alongside AI risk management practices when reviewing high-impact agentic actions and authority boundaries.,Informative relationship only; target framework assessment remains separate.,Informative relationship only; target framework assessment remains separate.,active_concept,active_concept,active_concept,Candidate coverage expansion row; conservative mapping only.
v060-map-nist-ai-600-1-genai-profile-002,NIST AI 600-1 Generative AI Profile,NIST AI 600-1,Generative AI risk profile context,Generative AI risk profile context,Untrusted model output; action-bound evidence; reviewable execution boundary,Untrusted model output; action-bound evidence; reviewable execution boundary,Untrusted model output; action-bound evidence; reviewable execution boundary,provides_action_boundary_context_for,May support review context for generative AI risks where outputs can influence actions.,AAEF focuses on the authority and evidence boundary around actions that may be influenced by generative AI output.,Informative relationship only; target framework assessment remains separate.,Informative relationship only; target framework assessment remains separate.,active_concept,active_concept,active_concept,Candidate coverage expansion row; conservative mapping only.
v060-map-owasp-llm-top10-prompt-injection-003,OWASP Top 10 for LLM Applications 2025,2025,Prompt injection and LLM application risk context,Prompt injection and LLM application risk context,Model output is not authority; tool dispatch and backend verification boundaries,Model output is not authority; tool dispatch and backend verification boundaries,Model output is not authority; tool dispatch and backend verification boundaries,provides_action_boundary_context_for,May inform threat context for untrusted prompt or model-output influence on tool use.,AAEF reduces reliance on model obedience by requiring separate authority and evidence checks for action execution.,Informative relationship only; target framework assessment remains separate.,Informative relationship only; target framework assessment remains separate.,active_concept,active_concept,active_concept,Candidate coverage expansion row; conservative mapping only.
v060-map-owasp-agentic-applications-004,OWASP Top 10 for Agentic Applications 2026,2026,Agentic application security risk context,Agentic application security risk context,Authorization decision separation; dispatch enforcement; non-execution evidence,Authorization decision separation; dispatch enforcement; non-execution evidence,Authorization decision separation; dispatch enforcement; non-execution evidence,provides_action_boundary_context_for,May complement agentic application risk review by focusing on action authority and evidence boundaries.,"AAEF provides an action-assurance lens for agentic systems that plan, act, and use tools across workflows.",Informative relationship only; target framework assessment remains separate.,Informative relationship only; target framework assessment remains separate.,active_concept,active_concept,active_concept,Candidate coverage expansion row; conservative mapping only.
v060-map-mitre-atlas-adversary-context-005,MITRE ATLAS,living knowledge base,AI-enabled system adversary tactics and techniques context,AI-enabled system adversary tactics and techniques context,Action reconstruction; evidence review; denied and non-executed action review,Action reconstruction; evidence review; denied and non-executed action review,Action reconstruction; evidence review; denied and non-executed action review,provides_action_boundary_context_for,May inform adversarial scenario selection for action-focused evidence review.,"AAEF evidence and reconstruction concepts can help review how agentic actions were requested, allowed, denied, or blocked.",Informative relationship only; target framework assessment remains separate.,Informative relationship only; target framework assessment remains separate.,active_concept,active_concept,active_concept,Candidate coverage expansion row; conservative mapping only.
v060-map-iso-iec-42001-management-context-006,ISO/IEC 42001:2023,2023,AI management system governance context,AI management system governance context,Risk-owner guidance; adoption package navigation; claim-boundary discipline,Risk-owner guidance; adoption package navigation; claim-boundary discipline,Risk-owner guidance; adoption package navigation; claim-boundary discipline,provides_action_boundary_context_for,May provide organizational management-system context for AAEF adoption discussions.,AAEF can support role-specific review of action authority and evidence within broader organizational AI management discussions.,Informative relationship only; target framework assessment remains separate.,Informative relationship only; target framework assessment remains separate.,active_concept,active_concept,active_concept,Candidate coverage expansion row; conservative mapping only.
